Name,rarity,collector_number,type,image_url,Unique ID,Name,Pitch,Cost,Power,Defense,Health,Intelligence,Types,Card Keywords,Abilities and Effects,Ability and Effect Keywords,Granted Keywords,Removed Keywords,Interacts with Keywords,Functional Text,Type Text,Card Played Horizontally,Blitz Legal,CC Legal,Commoner Legal,,all_cards,assassin_cards,illusionist_cards,ninja_cards
Hiss (yellow),common,MST015,special,https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST015.png,KWTp66RpbjrmqQPg87jbm,Hiss,2,1,,3,,,"Mystic, Assassin, Attack Reaction",,,,,,,"Target Assassin or Mystic attack action card gets +2{p}.  If you've pitched a blue card this turn, create a Slither in your hand.",Mystic Assassin Attack Reaction,,,,,,76,76,0,0
Hiss (blue),common,MST016,special,https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST016.png,8tzjQqHmRDzCTppjNRd9w,Hiss,3,1,,3,,,"Mystic, Assassin, Attack Reaction",,,,,,,"Target Assassin or Mystic attack action card gets +1{p}.  If you've pitched a blue card this turn, create a Slither in your hand.",Mystic Assassin Attack Reaction,,,,,,125,125,0,0
Intimate Inducement (red),common,MST017,"Mystic, Assassin, Attack Reaction",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST017.png,fn6R8HkftTRfr6dD8Gfgh,Intimate Inducement,1,0,,3,,,"Mystic, Assassin, Attack Reaction",,,,,,,"Target Assassin or Mystic attack action card gets +1{p}.  Look at the top 4 cards of the defending hero's deck and choose a card. If it's blue, it has 0 base {d}. Put the chosen card onto the active chain link as a defending card and the rest on top in any order.",Mystic Assassin Attack Reaction,,,,,,116,116,0,0
Intimate Inducement (yellow),common,MST018,"Mystic, Assassin, Attack Reaction",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST018.png,jrBknpNwPbrNbzmfKMnKw,Intimate Inducement,2,0,,3,,,"Mystic, Assassin, Attack Reaction",,,,,,,"Target Assassin or Mystic attack action card gets +1{p}.  Look at the top 3 cards of the defending hero's deck and choose a card. If it's blue, it has 0 base {d}. Put the chosen card onto the active chain link as a defending card and the rest on top in any order.",Mystic Assassin Attack Reaction,,,,,,62,62,0,0
Intimate Inducement (blue),common,MST019,"Mystic, Assassin, Attack Reaction",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST019.png,b8WGTGmWNGDdGwCWP7r66,Intimate Inducement,3,0,,3,,,"Mystic, Assassin, Attack Reaction",,,,,,,"Target Assassin or Mystic attack action card gets +1{p}.  Look at the top 2 cards of the defending hero's deck and choose a card. If it's blue, it has 0 base {d}. Put the chosen card onto the active chain link as a defending card and the rest on top in any order.",Mystic Assassin Attack Reaction,,,,,,159,159,0,0
Venomous Bite (red),common,MST020,"Mystic, Assassin, Attack Reaction",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST020.png,j98tFFFhRFtLffgcWMp9W,Venomous Bite,1,1,,3,,,"Mystic, Assassin, Attack Reaction",,,,,,,"Target Assassin or Mystic attack action card gets +3{p}.  If you've pitched a blue card this turn, create a Fang Strike in your hand.",Mystic Assassin Attack Reaction,,,,,,182,182,0,0
Venomous Bite (yellow),common,MST021,"Mystic, Assassin, Attack Reaction",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST021.png,9wKjt69bgRQjH79KWdJGn,Venomous Bite,2,1,,3,,,"Mystic, Assassin, Attack Reaction",,,,,,,"Target Assassin or Mystic attack action card gets +2{p}.  If you've pitched a blue card this turn, create a Fang Strike in your hand.",Mystic Assassin Attack Reaction,,,,,,84,84,0,0
Venomous Bite (blue),common,MST022,"Mystic, Assassin, Attack Reaction",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST022.png,ktngNfHpLWzFFqzbFCFct,Venomous Bite,3,1,,3,,,"Mystic, Assassin, Attack Reaction",,,,,,,"Target Assassin or Mystic attack action card gets +1{p}.  If you've pitched a blue card this turn, create a Fang Strike in your hand.",Mystic Assassin Attack Reaction,,,,,,129,129,0,0
Heirloom of Rabbit Hide,rare,MST028,special,https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST028.png,z7HGHDCwMDgBmhdhTnRhW,Heirloom of Rabbit Hide,,,,,,,"Mystic, Illusionist, Equipment, Chest","Cloaked, Ward 4",,,,,,"**Cloaked**  While this is equipped face-down, at the start of your turn, if you have exactly 1{h}, you may turn this face-up.  **Ward 4**",Mystic Illusionist Equipment - Chest,,,,,,28,0,28,0
Truths Retold,common,MST029,special,https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST029.png,WnPNGc8HLQHhbFKFrLkPM,Truths Retold,,,,,,,"Mystic, Illusionist, Equipment, Head","Cloaked, Ward 1",Instant,,,,,"**Cloaked**  **Instant** - {r}, turn this face-up: Put an aura from your graveyard on the bottom of your deck.  **Ward 1**",Mystic Illusionist Equipment - Head,,,,,,85,0,85,0
Uphold Tradition,common,MST030,special,https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST030.png,dH8jGBhdrCK7gbf9NhtGJ,Uphold Tradition,,,,,,,"Mystic, Illusionist, Equipment, Arms","Cloaked, Ward 1",Instant,,,,Ward,"**Cloaked**  **Instant** - {r}, turn this face-up: Put a +1{p} counter on an aura you control with **ward**.  **Ward 1**",Mystic Illusionist Equipment - Arms,,,,,,98,0,98,0
Manifestation of Miragai (blue),mythic,MST031,"Mystic, Illusionist, Instant, Aura",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST031.png,f8QrwNNrtgKcB8MwLRQh8,Manifestation of Miragai,3,3,,,,,"Mystic, Illusionist, Instant, Aura",Ward X,,,,,,"This enters the arena with two +1{p} counters. If a Chi was pitched to play this, instead this enters the arena with four +1{p} counters.  **Ward X**, where X is the number of +1{p} counters on this.",Mystic Illusionist Instant - Aura,,,,No,,14,0,14,0
Sacred Art: Immortal Lunar Shrine (blue),mythic,MST032,"Mystic, Illusionist, Instant",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST032.png,cdb8cTqP9MRgwqr7Q6rHQ,Sacred Art: Immortal Lunar Shrine,3,3,,,,,"Mystic, Illusionist, Instant","Legendary, Transcend",,,,,Ward,"**Legendary**  If you've played another blue card this turn, choose 3. Otherwise, choose 1; - Create 2 Spectral Shield tokens. - Put a +1{p} counter on each aura with **ward** you control. - **Transcend**",Mystic Illusionist Instant,,,,No,,11,0,11,0
Three Visits (red),mythic,MST033,"Mystic, Illusionist, Instant, Aura",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST033.png,dJbhLJjdgzzQg7rtmnP9k,Three Visits,1,3,,,,,"Mystic, Illusionist, Instant, Aura",Ward X,,,,,,"**Ward X**, where X is three times the number of blue cards you've pitched this turn.",Mystic Illusionist Instant - Aura,,,,No,,8,0,8,0
Moon Chakra (red),rare,MST034,"Mystic, Illusionist, Instant",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST034.png,pDpQ79NgQN6MQtz9zQrCW,Moon Chakra,1,0,,,,,"Mystic, Illusionist, Instant",,,,,,Transcend,"The next time you would be dealt damage this turn, prevent 3 of that damage. If you've **transcended** this turn, instead prevent 5.",Mystic Illusionist Instant,,,,No,,41,0,41,0
Moon Chakra (yellow),rare,MST035,"Mystic, Illusionist, Instant",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST035.png,hpqCzzRJJHRhkWLcL8QDh,Moon Chakra,2,0,,,,,"Mystic, Illusionist, Instant",,,,,,Transcend,"The next time you would be dealt damage this turn, prevent 2 of that damage. If you've **transcended** this turn, instead prevent 4.",Mystic Illusionist Instant,,,,No,,26,0,26,0
Moon Chakra (blue),rare,MST036,"Mystic, Illusionist, Instant",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST036.png,CNcQBLQccWPfJdd8Dm86g,Moon Chakra,3,0,,,,,"Mystic, Illusionist, Instant",,,,,,Transcend,"The next time you would be dealt damage this turn, prevent 1 of that damage. If you've **transcended** this turn, instead prevent 3.",Mystic Illusionist Instant,,,,No,,48,0,48,0
Haze Shelter (red),common,MST037,"Mystic, Illusionist, Instant, Aura",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST037.png,LngwQzcgtkJQfCQ7PkP9h,Haze Shelter,1,2,,,,,"Mystic, Illusionist, Instant, Aura",Ward X,,,,,,"**Ward X**, where X is 4 if you've pitched a blue card this turn, otherwise X is 1.",Mystic Illusionist Instant - Aura,,,,,,128,0,128,0
Haze Shelter (yellow),common,MST038,"Mystic, Illusionist, Instant, Aura",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST038.png,DpC7pdbKCcfcgDRCNHkch,Haze Shelter,2,2,,,,,"Mystic, Illusionist, Instant, Aura",Ward X,,,,,,"**Ward X**, where X is 3 if you've pitched a blue card this turn, otherwise X is 1.",Mystic Illusionist Instant - Aura,,,,,,38,0,38,0
Haze Shelter (blue),common,MST039,"Mystic, Illusionist, Instant, Aura",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST039.png,CGJMGJrWtt9qWQ6zfJHWK,Haze Shelter,3,2,,,,,"Mystic, Illusionist, Instant, Aura",Ward X,,,,,,"**Ward X**, where X is 2 if you've pitched a blue card this turn, otherwise X is 1.",Mystic Illusionist Instant - Aura,,,,,,68,0,68,0
Waning Vengeance (red),common,MST040,special,https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST040.png,RRwGHgbnNGFT7PDPDwkDG,Waning Vengeance,1,1,,,,,"Mystic, Illusionist, Instant, Aura",Ward 3,,,,,,"When this leaves the arena, if you've pitched a blue card this turn, create a Spectral Shield token.  **Ward 3**",Mystic Illusionist Instant - Aura,,,,,,170,0,170,0
Waning Vengeance (yellow),common,MST041,special,https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST041.png,FJjmNKzKjz7PLCpF8Bg8Q,Waning Vengeance,2,1,,,,,"Mystic, Illusionist, Instant, Aura",Ward 2,,,,,,"When this leaves the arena, if you've pitched a blue card this turn, create a Spectral Shield token.  **Ward 2**",Mystic Illusionist Instant - Aura,,,,,,53,0,53,0
Waning Vengeance (blue),common,MST042,special,https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST042.png,Rhc9fGptBBhtNFDWbKGW8,Waning Vengeance,3,1,,,,,"Mystic, Illusionist, Instant, Aura",Ward 1,,,,,,"When this leaves the arena, if you've pitched a blue card this turn, create a Spectral Shield token.  **Ward 1**",Mystic Illusionist Instant - Aura,,,,,,89,0,89,0
Waxing Specter (red),common,MST043,"Mystic, Illusionist, Instant, Aura",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST043.png,Lb7B6FTJbHFtCfcLm9dJh,Waxing Specter,1,2,,,,,"Mystic, Illusionist, Instant, Aura",Ward 3,,,,,,"If you've pitched a blue card this turn, this enters the arena with a +1{p} counter.  **Ward 3**",Mystic Illusionist Instant - Aura,,,,,,187,0,187,0
Waxing Specter (yellow),common,MST044,"Mystic, Illusionist, Instant, Aura",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST044.png,FkbNjBJDf96DKNfNWk8Nr,Waxing Specter,2,2,,,,,"Mystic, Illusionist, Instant, Aura",Ward 2,,,,,,"If you've pitched a blue card this turn, this enters the arena with a +1{p} counter.  **Ward 2**",Mystic Illusionist Instant - Aura,,,,,,69,0,69,0
Waxing Specter (blue),common,MST045,"Mystic, Illusionist, Instant, Aura",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST045.png,hQGwctG9wQDRPbNzJWTnW,Waxing Specter,3,2,,,,,"Mystic, Illusionist, Instant, Aura",Ward 1,,,,,,"If you've pitched a blue card this turn, this enters the arena with a +1{p} counter.  **Ward 1**",Mystic Illusionist Instant - Aura,,,,,,77,0,77,0
Heirloom of Tiger Hide,rare,MST049,special,https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST049.png,6F7r7J6hRpwwH8hrtjdTp,Heirloom of Tiger Hide,,,,3,,,"Mystic, Ninja, Equipment, Chest","Cloaked, Blade Break",,,,,,"**Cloaked**  While this is equipped face-down, at the start of your turn, if you have exactly 1{h}, you may turn this face-up.  **Blade Break**",Mystic Ninja Equipment - Chest,,,,,,62,0,0,62
Stride of Reprisal,common,MST050,special,https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST050.png,DhKMQzczm7mmf9HnhWhdL,Stride of Reprisal,,,,1,,,"Mystic, Ninja, Equipment, Legs",Blade Break,,,,,,"When this defends, create a Crouching Tiger in your hand.  **Blade Break**",Mystic Ninja Equipment - Legs,,,,,,129,0,0,129
Tooth and Claw (red),mythic,MST051,"Mystic, Ninja, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST051.png,cLkt677NMWGgPTNCBcJjn,Tooth and Claw,1,0,4,3,,,"Mystic, Ninja, Action, Attack",Go again,,,,,,"When this attacks, you may reveal any number of Crouching Tigers from your hand. If you reveal 1 or more, this gets **go again**. 2 or more, this gets +1{p}. 3 or more, draw a card.",Mystic Ninja Action - Attack,,,,No,,19,0,0,19
Shifting Winds of the Mystic Beast (blue),mythic,MST052,"Mystic, Ninja, Action",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST052.png,WznLQmk7B6QQKMmT6TJJC,Shifting Winds of the Mystic Beast,3,1,,3,,,"Mystic, Ninja, Action",Go again,,,,,,"Whenever you play a Crouching Tiger this turn, name a card. It gets that name.  If a Chi was pitched to play this, create 2 Crouching Tigers in your hand.  **Go again**",Mystic Ninja Action,,,,No,,12,0,0,12
Sacred Art: Jade Tiger Domain (blue),mythic,MST053,"Mystic, Ninja, Instant",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST053.png,GJzhGm6bb6gW8nMBgQRbz,Sacred Art: Jade Tiger Domain,3,3,,,,,"Mystic, Ninja, Instant","Legendary, Transcend",,,,,,"**Legendary**  If you've played another blue card this turn, choose 3. Otherwise, choose 1; - Create 2 Crouching Tigers in your hand. - Your Crouching Tigers get +1{p} this turn. - **Transcend**",Mystic Ninja Instant,,,,No,,12,0,0,12
Wind Chakra (red),rare,MST054,"Mystic, Ninja, Action",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST054.png,KRLHmjMcJTWNdrHrHqbkt,Wind Chakra,1,0,,3,,,"Mystic, Ninja, Action",Go again,,,,,Transcend,"The next Crouching Tiger you play this turn gets +3{p}. If you've **transcended** this turn, instead it gets +5{p}.  **Go again**",Mystic Ninja Action,,,,No,,55,0,0,55
Wind Chakra (yellow),rare,MST055,"Mystic, Ninja, Action",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST055.png,MpfqmCMGhHCTwgQKRdDGW,Wind Chakra,2,0,,3,,,"Mystic, Ninja, Action",Go again,,,,,Transcend,"The next Crouching Tiger you play this turn gets +2{p}. If you've **transcended** this turn, instead it gets +4{p}.  **Go again**",Mystic Ninja Action,,,,No,,36,0,0,36
Wind Chakra (blue),rare,MST056,"Mystic, Ninja, Action",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST056.png,6mR8hhpB9hT6wf9QbWnrd,Wind Chakra,3,0,,3,,,"Mystic, Ninja, Action",Go again,,,,,Transcend,"The next Crouching Tiger you play this turn gets +2{p}. If you've **transcended** this turn, instead it gets +4{p}.  **Go again**",Mystic Ninja Action,,,,No,,64,0,0,64
Companion of the Claw (red),common,MST057,"Mystic, Ninja, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST057.png,6h97MQcbc89bqd99BGRht,Companion of the Claw,1,2,4,2,,,"Mystic, Ninja, Action, Attack",Go again,,,,,,"When this attacks, if you've pitched a blue card this turn, create a Crouching Tiger in your hand.  **Go again**",Mystic Ninja Action - Attack,,,,,,170,0,0,170
Companion of the Claw (yellow),common,MST058,"Mystic, Ninja, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST058.png,6hwzWtTQ8pPqmNwL9dDFP,Companion of the Claw,2,2,3,2,,,"Mystic, Ninja, Action, Attack",Go again,,,,,,"When this attacks, if you've pitched a blue card this turn, create a Crouching Tiger in your hand.  **Go again**",Mystic Ninja Action - Attack,,,,,,52,0,0,52
Companion of the Claw (blue),common,MST059,"Mystic, Ninja, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST059.png,KhmFwJF7JFP9W9c6C8brQ,Companion of the Claw,3,2,2,2,,,"Mystic, Ninja, Action, Attack",Go again,,,,,,"When this attacks, if you've pitched a blue card this turn, create a Crouching Tiger in your hand.  **Go again**",Mystic Ninja Action - Attack,,,,,,143,0,0,143
Harmony of the Hunt (red),common,MST060,"Mystic, Ninja, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST060.png,8DknMpTdzFbMdjpRhkWLm,Harmony of the Hunt,1,1,3,2,,,"Mystic, Ninja, Action, Attack",Go again,,,,,,"When this attacks, if you've pitched a blue card this turn, create a Crouching Tiger in your hand.  **Go again**",Mystic Ninja Action - Attack,,,,,,202,0,0,202
Harmony of the Hunt (yellow),common,MST061,"Mystic, Ninja, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST061.png,6mDWM8jqfRP6NNLrcNjtQ,Harmony of the Hunt,2,1,2,2,,,"Mystic, Ninja, Action, Attack",Go again,,,,,,"When this attacks, if you've pitched a blue card this turn, create a Crouching Tiger in your hand.  **Go again**",Mystic Ninja Action - Attack,,,,,,79,0,0,79
Harmony of the Hunt (blue),common,MST062,"Mystic, Ninja, Action, Attack",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST062.png,96qhpHbkmGTNFKQNjFrwq,Harmony of the Hunt,3,1,1,2,,,"Mystic, Ninja, Action, Attack",Go again,,,,,,"When this attacks, if you've pitched a blue card this turn, create a Crouching Tiger in your hand.  **Go again**",Mystic Ninja Action - Attack,,,,,,162,0,0,162
Tiger Form Incantation (red),common,MST063,"Mystic, Ninja, Action",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST063.png,9LHQHHBhKFcRGcNT779m8,Tiger Form Incantation,1,1,,3,,,"Mystic, Ninja, Action",Go again,,,,,,"The next Crouching Tiger you play this turn gets +3{p}.  If you've pitched a blue card this turn, create a Crouching Tiger in your hand.  **Go again**",Mystic Ninja Action,,,,,,220,0,0,220
Tiger Form Incantation (yellow),common,MST064,"Mystic, Ninja, Action",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST064.png,PmCBczjbM8CQHRBjmcq9D,Tiger Form Incantation,2,1,,3,,,"Mystic, Ninja, Action",Go again,,,,,,"The next Crouching Tiger you play this turn gets +2{p}.  If you've pitched a blue card this turn, create a Crouching Tiger in your hand.  **Go again**",Mystic Ninja Action,,,,,,78,0,0,78
Tiger Form Incantation (blue),common,MST065,"Mystic, Ninja, Action",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST065.png,FwHwtJtb7pmbpjG8RMQ7b,Tiger Form Incantation,3,1,,3,,,"Mystic, Ninja, Action",Go again,,,,,,"The next Crouching Tiger you play this turn gets +1{p}.  If you've pitched a blue card this turn, create a Crouching Tiger in your hand.  **Go again**",Mystic Ninja Action,,,,,,188,0,0,188
Aqua Seeing Shell,common,MST067,"Mystic, Equipment, Head",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST067.png,NbbDrzwLMP7CH69PHcWfK,Aqua Seeing Shell,,,,1,,,"Mystic, Equipment, Head",Cloaked,Instant,,,,,"**Cloaked**  **Instant** - {r}{r}{r}, turn this face-up: Draw a card.  At the start of your turn, destroy this.",Mystic Equipment - Head,,,,,,87,41,26,20
Koi Blessed Kimono,common,MST068,"Mystic, Equipment, Chest",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST068.png,mccHtdK6wgfhL6g98CKMT,Koi Blessed Kimono,,,,,,,"Mystic, Equipment, Chest",Cloaked,,,,,,"**Cloaked**  While this is equipped face-down, at the start of your turn, if you have exactly 1{h}, you may turn this face-up.  When this is turned face-up, destroy it. Search your deck for an Inner Chi, reveal it, put it into your hand, then shuffle.",Mystic Equipment - Chest,,,,,,138,39,49,50
Waves of Aqua Marine,common,MST069,"Mystic, Equipment, Arms",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST069.png,zmtr9qmT89RLcGDGLRgLM,Waves of Aqua Marine,,,,1,,,"Mystic, Equipment, Arms",Cloaked,Attack Reaction,,,,,"**Cloaked**  **Attack Reaction** - {r}, turn this face-up: Target attack gets +1{p}.  At the start of your turn, destroy this.",Mystic Equipment - Arms,,,,,,81,30,8,43
Aqua Laps,common,MST070,"Mystic, Equipment, Legs",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST070.png,gJg89dTHTbjhQPnnfkMpP,Aqua Laps,,,,1,,,"Mystic, Equipment, Legs",Cloaked,Attack Reaction,,Go again,,,"**Cloaked**  **Attack Reaction** - {r}, turn this face up: Target attack gets **go again**.  At the start of your turn, destroy this.",Mystic Equipment - Legs,,,,,,83,35,33,15
Skycrest Keikoi,common,MST071,"Mystic, Equipment, Head",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST071.png,pfbmHDDCBzPj7kPKLHtJj,Skycrest Keikoi,,,,,,,"Mystic, Equipment, Head",Cloaked,Instant,,,,,**Cloaked**  **Instant** - Destroy this: Prevent the next 1 damage that would be dealt to you this turn. Activate this ability only while this is face-down.,Mystic Equipment - Head,,,,,,138,59,45,34
Skybody Keikoi,common,MST072,"Mystic, Equipment, Chest",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST072.png,rLzdPNHmqwPfmRFLhWM8R,Skybody Keikoi,,,,,,,"Mystic, Equipment, Chest",Cloaked,Instant,,,,,**Cloaked**  **Instant** - Destroy this: Prevent the next 1 damage that would be dealt to you this turn. Activate this ability only while this is face-down.,Mystic Equipment - Chest,,,,,,193,57,79,57
Skyhold Keikoi,common,MST073,"Mystic, Equipment, Arms",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST073.png,LhPHmJ9Wmq6R6RDjDGtwC,Skyhold Keikoi,,,,,,,"Mystic, Equipment, Arms",Cloaked,Instant,,,,,**Cloaked**  **Instant** - Destroy this: Prevent the next 1 damage that would be dealt to you this turn. Activate this ability only while this is face-down.,Mystic Equipment - Arms,,,,,,138,24,27,87
Skywalker Keikoi,common,MST074,"Mystic, Equipment, Legs",https://storage.googleapis.com/fabmaster/cardfaces/2024-MST/EN/MST074.png,Rn7bzNz8BdmwrcTBkMHM6,Skywalker Keikoi,,,,,,,"Mystic, Equipment, Legs",Cloaked,Instant,,,,,**Cloaked**  **Instant** - Destroy this: Prevent the next 1 damage that would be dealt to you this turn. Activate this ability only while this is face-down.,Mystic Equipment - Legs,,,,,,131,16,85,30
