Name,rarity,collector_number,image_url,Unique ID,Pitch,Cost,Power,Defense,Health,Intelligence,Arcane,Types,Card Keywords,Abilities and Effects,Ability and Effect Keywords,Granted Keywords,Removed Keywords,Interacts with Keywords,Functional Text,Type Text,Card Played Horizontally,Blitz Legal,CC Legal,Commoner Legal,LL Legal,total_count,Gravy Bones_total_count,"Scurv, Stowaway_total_count",Puffin_total_count,Marlynn_total_count,average_count_per_normalized_deck,Gravy Bones_average_count_per_normalized_deck,"Scurv, Stowaway_average_count_per_normalized_deck",Puffin_average_count_per_normalized_deck,Marlynn_average_count_per_normalized_deck,draft_average_occurrence1,draft_average_occurrence2,draft_average_occurrence3,pick_rate,average_count_per_deck,Gravy Bones_pick_rate,Gravy Bones_average_count_per_deck,"Scurv, Stowaway_pick_rate","Scurv, Stowaway_average_count_per_deck",Puffin_pick_rate,Puffin_average_count_per_deck,Marlynn_pick_rate,Marlynn_average_count_per_deck,weighted_pick_rate
Cloud City Steamboat (blue),rare,SEA017,https://prod-content.fabrary.io/cards/SEA017.webp,pPgMnD6hBcnm8gcdHL79J,3,2,4,3,,,,"Mechanologist, Action, Attack",,Twice per Turn Instant,,,,,"""When this hits a hero, you may {t} a cog you control. If you do, put a steam counter on a cog you control.",,,,,,,35,0,0,35,0,0.08187024018304877,0.0,0.0,0.2838678421300102,0.0,0.7582363511904764,0.762198275,0.7975172199921293,0.12161015702388206,0.09433962264150944,0.0,0.0,0.0,0.0,0.4212982465241639,0.32710280373831774,0.0,0.0,0.10532456163104098
Cogwerx Zeppelin (red),rare,SEA018,https://prod-content.fabrary.io/cards/SEA018.webp,WMNLQNgmCHD7FwnFFq6dG,1,2,6,3,,,,"Mechanologist, Action, Attack",,Twice per Turn Instant,,,,,"""When this hits a hero, you may {t} a cog you control. If you do, create a Golden Cog token.",,,,,,,46,0,0,46,0,0.10764767298249851,0.0,0.0,0.37324566987389673,0.0,0.7582363511904764,0.762198275,0.7975172199921293,0.1598304920885307,0.12398921832884097,0.0,0.0,0.0,0.0,0.5537062668603296,0.42990654205607476,0.0,0.0,0.1384265667150824
Cogwerx Zeppelin (yellow),rare,SEA019,https://prod-content.fabrary.io/cards/SEA019.webp,fJzjdQTnDbfNwGCDWCBNK,2,2,5,3,,,,"Mechanologist, Action, Attack",,Twice per Turn Instant,,,,,"""When this hits a hero, you may {t} a cog you control. If you do, create a Golden Cog token.",,,,,,,40,0,0,40,0,0.0924995470245843,0.0,0.0,0.3207227284684184,0.0,0.7582363511904764,0.762198275,0.7975172199921293,0.13898303659872235,0.1078167115902965,0.0,0.0,0.0,0.0,0.48148371031333015,0.37383177570093457,0.0,0.0,0.12037092757833254
Cogwerx Zeppelin (blue),rare,SEA020,https://prod-content.fabrary.io/cards/SEA020.webp,kNggzqkBtLWRqfhFCMbfQ,3,2,4,3,,,,"Mechanologist, Action, Attack",,Twice per Turn Instant,,,,,"""When this hits a hero, you may {t} a cog you control. If you do, create a Golden Cog token.",,,,,,,45,0,0,45,0,0.10290129093119507,0.0,0.0,0.35678858818199416,0.0,0.7582363511904764,0.762198275,0.7975172199921293,0.15635591617356265,0.12129380053908356,0.0,0.0,0.0,0.0,0.5416691741024965,0.4205607476635514,0.0,0.0,0.13541729352562412
Copper Cog (blue),rare,SEA021,https://prod-content.fabrary.io/cards/SEA021.webp,kzBc7Bmrk7TfHNwhQK6Lj,3,0,,,,,,"Mechanologist, Action, Cog, Item","Unlimited, Crank",,,,,,"""**Unlimited**",,,,,,,40,0,0,40,0,0.0911921326931174,0.0,0.0,0.3161895441976314,0.0,0.7582363511904764,0.762198275,0.7975172199921293,0.13898303659872235,0.1078167115902965,0.0,0.0,0.0,0.0,0.48148371031333015,0.37383177570093457,0.0,0.0,0.12037092757833254
Lubricate (blue),rare,SEA022,https://prod-content.fabrary.io/cards/SEA022.webp,pKtKBmHB8P6Nwr8TP7p6D,3,0,,,,,,"Mechanologist, Instant",,,,,,,{u} up to 3 cogs you control.,Mechanologist Instant,,,,No,,21,0,0,21,0,0.047888132596211094,0.0,0.0,0.16604202984293753,0.0,0.7582363511904764,0.762198275,0.7975172199921293,0.07296609421432923,0.05660377358490566,0.0,0.0,0.0,0.0,0.25277894791449834,0.19626168224299065,0.0,0.0,0.06319473697862459
Pinion Sentry (blue),rare,SEA023,https://prod-content.fabrary.io/cards/SEA023.webp,gQdQfNwNMgDLJfkcNWmhH,3,,,3,,,,"Mechanologist, Block",,,,,,,"When this defends, you may {t} a cog you control. If you do, create a Golden Cog token.",Mechanologist Block,,,,No,,30,0,0,30,0,0.06758570418205079,0.0,0.0,0.23433921730412,0.0,0.7582363511904764,0.762198275,0.7975172199921293,0.10423727744904177,0.08086253369272237,0.0,0.0,0.0,0.0,0.36111278273499764,0.2803738317757009,0.0,0.0,0.09027819568374941
Cloud Skiff (red),common,SEA024,https://prod-content.fabrary.io/cards/SEA024.webp,mbNRPd7D9TN76C8wbBRrL,1,1,5,3,,,,"Mechanologist, Action, Attack",Go again,Once per Turn Instant,,,,,**Once per Turn Instant** - {t} a cog you control: This gets +1{p} or go again.,Mechanologist Action - Attack,,,,,,152,0,0,152,0,0.34906549151090527,0.0,0.0,1.2103111901920174,0.0,2.4207852014652014,2.4347523450980395,3.139579792252512,0.150005889674643,0.40970350404312667,0.0,0.0,0.0,0.0,0.5184943154458861,1.4205607476635513,0.0,0.0,0.12962357886147152
Cloud Skiff (yellow),common,SEA025,https://prod-content.fabrary.io/cards/SEA025.webp,kkfTJq9f9rMqbkPkbJm8R,2,1,4,3,,,,"Mechanologist, Action, Attack",Go again,Once per Turn Instant,,,,,**Once per Turn Instant** - {t} a cog you control: This gets +1{p} or go again.,Mechanologist Action - Attack,,,,,,85,0,0,85,0,0.19410861911936314,0.0,0.0,0.6730308195633993,0.0,2.4207852014652014,2.4347523450980395,2.1636648654232435,0.09905339062003805,0.22911051212938005,0.0,0.0,0.0,0.0,0.3437280199971136,0.794392523364486,0.0,0.0,0.0859320049992784
Cloud Skiff (blue),common,SEA026,https://prod-content.fabrary.io/cards/SEA026.webp,nNnqFQD7WfGFGRnrMw8nh,3,1,3,3,,,,"Mechanologist, Action, Attack",Go again,Once per Turn Instant,,,,,**Once per Turn Instant** - {t} a cog you control: This gets +1{p} or go again.,Mechanologist Action - Attack,,,,,,104,0,0,104,0,0.23977034604348285,0.0,0.0,0.831353255907777,0.0,2.4207852014652014,2.4347523450980395,2.1636648654232435,0.12119473675863479,0.2803234501347709,0.0,0.0,0.0,0.0,0.4205613421141155,0.9719626168224299,0.0,0.0,0.10514033552852887
Sky Skimmer (red),common,SEA027,https://prod-content.fabrary.io/cards/SEA027.webp,MjtP6GFTmC7j96tmLrJ97,1,0,4,3,,,,"Mechanologist, Action, Attack",,Once per Turn Instant,Go again,,,,**Once per Turn Instant** - {t} a cog you control: This gets +1{p} or **go again**.,Mechanologist Action - Attack,,,,,,137,0,0,137,0,0.3179717538150898,0.0,0.0,1.1025001931345637,0.0,2.4207852014652014,2.4347523450980395,3.139579792252512,0.13520267687780324,0.3692722371967655,0.0,0.0,0.0,0.0,0.4673271132637263,1.280373831775701,0.0,0.0,0.11683177831593157
Sky Skimmer (yellow),common,SEA028,https://prod-content.fabrary.io/cards/SEA028.webp,fWMNJw87bKTw7PFwcDgGc,2,0,3,3,,,,"Mechanologist, Action, Attack",,Once per Turn Instant,Go again,,,,**Once per Turn Instant** - {t} a cog you control: This gets +1{p} or **go again**.,Mechanologist Action - Attack,,,,,,92,0,0,92,0,0.20957446272111815,0.0,0.0,0.7266553800891106,0.0,2.4207852014652014,2.4347523450980395,2.1636648654232435,0.10721072867110001,0.24797843665768193,0.0,0.0,0.0,0.0,0.37203503340864064,0.8598130841121495,0.0,0.0,0.09300875835216016
Sky Skimmer (blue),common,SEA029,https://prod-content.fabrary.io/cards/SEA029.webp,h6kzb7mjjwrhQDDTnnJqF,3,0,2,3,,,,"Mechanologist, Action, Attack",,Once per Turn Instant,Go again,,,,**Once per Turn Instant** - {t} a cog you control: This gets +1{p} or **go again**.,Mechanologist Action - Attack,,,,,,110,0,0,110,0,0.25451938996526585,0.0,0.0,0.88249246427209,0.0,2.4207852014652014,2.4347523450980395,2.1636648654232435,0.1281867408024022,0.29649595687331537,0.0,0.0,0.0,0.0,0.44482449646685296,1.02803738317757,0.0,0.0,0.11120612411671324
Teeth of the Cog (red),common,SEA030,https://prod-content.fabrary.io/cards/SEA030.webp,9fgDH76FTCT7NWzJmBRGk,1,0,4,2,,,,"Mechanologist, Action, Attack",Galvanize,,,,,,"**Galvanize** - When this defends, you may destroy an item you control. If you do, create a Golden Cog token.",Mechanologist Action - Attack,,,,,,101,0,0,101,0,0.23637319536063042,0.0,0.0,0.8195743502691017,0.0,2.4207852014652014,2.4347523450980395,2.1636648654232435,0.1176987347367511,0.2722371967654987,0.0,0.0,0.0,0.0,0.4084297649377468,0.9439252336448598,0.0,0.0,0.1021074412344367
Teeth of the Cog (yellow),common,SEA031,https://prod-content.fabrary.io/cards/SEA031.webp,d7MbqP6qdjzHWbbJTzCfF,2,0,3,2,,,,"Mechanologist, Action, Attack",Galvanize,,,,,,"**Galvanize** - When this defends, you may destroy an item you control. If you do, create a Golden Cog token.",Mechanologist Action - Attack,,,,,,57,0,0,57,0,0.13226501134212842,0.0,0.0,0.45860111409280047,0.0,2.4207852014652014,2.4347523450980395,2.1636648654232435,0.06642403841579023,0.15363881401617252,0.0,0.0,0.0,0.0,0.23049996635100561,0.5327102803738317,0.0,0.0,0.057624991587751404
Teeth of the Cog (blue),common,SEA032,https://prod-content.fabrary.io/cards/SEA032.webp,Mphbggf6mpBbRJJb6dfgL,3,0,2,2,,,,"Mechanologist, Action, Attack",Galvanize,,,,,,"**Galvanize** - When this defends, you may destroy an item you control. If you do, create a Golden Cog token.",Mechanologist Action - Attack,,,,,,101,0,0,101,0,0.23358489154938764,0.0,0.0,0.8099064931291852,0.0,2.4207852014652014,2.4347523450980395,2.1636648654232435,0.1176987347367511,0.2722371967654987,0.0,0.0,0.0,0.0,0.4084297649377468,0.9439252336448598,0.0,0.0,0.1021074412344367
Tough Old Wrench (red),common,SEA033,https://prod-content.fabrary.io/cards/SEA033.webp,KwphDpWLnJrjGGMGnJc9n,1,2,6,2,,,,"Mechanologist, Action, Attack",Galvanize,,,,,,"**Galvanize** - When this defends, you may destroy an item you control. If you do, create a Golden Cog token.",Mechanologist Action - Attack,,,,,,82,0,0,82,0,0.18958098430520468,0.0,0.0,0.6573321979180461,0.0,2.4207852014652014,2.4347523450980395,2.1636648654232435,0.09555738859815435,0.2210242587601078,0.0,0.0,0.0,0.0,0.3315964428207449,0.7663551401869159,0.0,0.0,0.08289911070518623
Tough Old Wrench (yellow),common,SEA034,https://prod-content.fabrary.io/cards/SEA034.webp,9dPrwcgFKcd8zk8PpwfRJ,2,2,5,2,,,,"Mechanologist, Action, Attack",Galvanize,,,,,,"**Galvanize** - When this defends, you may destroy an item you control. If you do, create a Golden Cog token.",Mechanologist Action - Attack,,,,,,61,0,0,61,0,0.14103277416657845,0.0,0.0,0.4890014879981365,0.0,2.4207852014652014,2.4347523450980395,2.1636648654232435,0.07108537444496849,0.16442048517520216,0.0,0.0,0.0,0.0,0.2466754025861639,0.5700934579439252,0.0,0.0,0.06166885064654098
Tough Old Wrench (blue),common,SEA035,https://prod-content.fabrary.io/cards/SEA035.webp,zLMWLzKGcdNnndTcD89gT,3,2,4,2,,,,"Mechanologist, Action, Attack",Galvanize,,,,,,"**Galvanize** - When this defends, you may destroy an item you control. If you do, create a Golden Cog token.",Mechanologist Action - Attack,,,,,,78,0,0,78,0,0.18096016050982547,0.0,0.0,0.6274413041976192,0.0,2.4207852014652014,2.4347523450980395,2.1636648654232435,0.0908960525689761,0.21024258760107817,0.0,0.0,0.0,0.0,0.31542100658558664,0.7289719626168224,0.0,0.0,0.07885525164639666
Goldwing Turbine (red),common,SEA036,https://prod-content.fabrary.io/cards/SEA036.webp,8nwFDqnJ8nCHfBMLrwBnr,1,2,,3,,,,"Mechanologist, Action",,,,,,,"""Your next Mechanologist attack this turn gets +3{p}.",,,,,,,118,0,0,118,0,0.2688693482178845,0.0,0.0,0.9322479269984594,0.0,2.4207852014652014,2.4347523450980395,3.139579792252512,0.11645194066847286,0.31805929919137466,0.0,0.0,0.0,0.0,0.4025153238329905,1.102803738317757,0.0,0.0,0.10062883095824762
Goldwing Turbine (yellow),common,SEA037,https://prod-content.fabrary.io/cards/SEA037.webp,CwgjPFFG8MpkRF8ztzgFg,2,2,,3,,,,"Mechanologist, Action",,,,,,,"""Your next Mechanologist attack this turn gets +2{p}.",,,,,,,114,0,0,114,0,0.26222637336029014,0.0,0.0,0.9092148085669873,0.0,2.4207852014652014,2.4347523450980395,3.139579792252512,0.11250441725598226,0.30727762803234504,0.0,0.0,0.0,0.0,0.38887073658441457,1.0654205607476634,0.0,0.0,0.09721768414610364
Goldwing Turbine (blue),common,SEA038,https://prod-content.fabrary.io/cards/SEA038.webp,tDL9LBtmCdmkrNnQzRhQ9,3,2,,3,,,,"Mechanologist, Action",,,,,,,"""Your next Mechanologist attack this turn gets +1{p}.",,,,,,,117,0,0,117,0,0.26631905784516646,0.0,0.0,0.9234053314070725,0.0,2.4207852014652014,2.4347523450980395,3.139579792252512,0.11546505981535021,0.31536388140161725,0.0,0.0,0.0,0.0,0.3991041770208465,1.0934579439252337,0.0,0.0,0.09977604425521162
Draw Back the Hammer (red),common,SEA039,https://prod-content.fabrary.io/cards/SEA039.webp,L9p7KwzTpjnpPGqjnDgqn,1,1,,2,,,,"Mechanologist, Action",Go again,,,,,,"""Your next Mechanologist attack this turn gets +4{p}.",,,,,,,101,0,0,101,0,0.23265340011110244,0.0,0.0,0.8066767424412992,0.0,2.4207852014652014,2.4347523450980395,2.1636648654232435,0.1176987347367511,0.2722371967654987,0.0,0.0,0.0,0.0,0.4084297649377468,0.9439252336448598,0.0,0.0,0.1021074412344367
Perk Up (red),common,SEA040,https://prod-content.fabrary.io/cards/SEA040.webp,nrwKjjNcwNLF9KwWNLmHP,1,1,,2,,,,"Mechanologist, Action",Go again,,,,,,"""Your next Mechanologist attack this turn gets +4{p}.",,,,,,,114,0,0,114,0,0.2616152095968544,0.0,0.0,0.9070957267330186,0.0,2.4207852014652014,2.4347523450980395,2.1636648654232435,0.13284807683158045,0.30727762803234504,0.0,0.0,0.0,0.0,0.46099993270201123,1.0654205607476634,0.0,0.0,0.11524998317550281
Tighten the Screws (red),common,SEA041,https://prod-content.fabrary.io/cards/SEA041.webp,pK8JkmbJz7PNtMJCLPTHN,1,1,,2,,,,"Mechanologist, Action",Go again,,,,,,"""Your next Mechanologist attack this turn gets +4{p}.",,,,,,,97,0,0,97,0,0.22216732591031696,0.0,0.0,0.7703184851656785,0.0,2.4207852014652014,2.4347523450980395,2.1636648654232435,0.11303739870757284,0.261455525606469,0.0,0.0,0.0,0.0,0.3922543287025885,0.9065420560747663,0.0,0.0,0.09806358217564712
Washed Up Wave,common,SEA046,https://prod-content.fabrary.io/cards/SEA046.webp,QtHWQMww79tzzPLJfbQBp,,,,0,,,,"Pirate, Necromancer, Equipment, Arms",Blade Break,,,,,Watery Grave,"""When this defends, you may discard a card or destroy the top card of your deck. If that card has watery grave, this gets +2{d}.",,,,,,,92,92,0,0,0,,,,,,1.6660106666666663,1.6660106666666663,1.7493112000000002,0.14572301167701346,0.24797843665768193,0.3701188691354172,0.6301369863013698,0.0,0.0,0.0,0.0,0.0,0.0,0.0925297172838543
Blood in the Water (red),mythic,SEA047,https://prod-content.fabrary.io/cards/SEA047.webp,mhWb9WptjzMQtB99PWNBr,1,0,,4,,,,"Pirate, Necromancer, Defense Reaction",,,,,,Watery Grave,"When this defends, you may discard a card or destroy the top card of your deck. If that card has watery grave, this gets +2{d}.",Pirate Necromancer Defense Reaction,,,,No,,18,18,0,0,0,0.040546315286255796,0.10303207514521165,0.0,0.0,0.0,0.16806472727272725,0.1711010909090909,0.18980700478468898,0.2727133758514973,0.04851752021563342,0.6935548412447881,0.1232876712328767,0.0,0.0,0.0,0.0,0.0,0.0,0.17338871031119701
Chart the High Seas (blue),mythic,SEA048,https://prod-content.fabrary.io/cards/SEA048.webp,jMMDM8cd7Dc8LdWWN7GzR,3,0,,3,,,,"Pirate, Necromancer, Action",Go again,,,,,,"""Look at the top 2 cards of your deck. You may pitch a blue card from among them. Put the rest into your graveyard.",,,,,,,2,2,0,0,0,0.005005775895263766,0.012720156555772995,0.0,0.0,0.0,0.16806472727272725,0.1711010909090909,0.18980700478468898,0.030301486205721925,0.005390835579514825,0.07706164902719867,0.0136986301369863,0.0,0.0,0.0,0.0,0.0,0.0,0.019265412256799667
Give No Quarter (blue),mythic,SEA049,https://prod-content.fabrary.io/cards/SEA049.webp,dMBRGmmzWTNGjDRbRMzMn,3,0,,3,,,,"Pirate, Necromancer, Action",Go again,,,,,,"""The next 2 ally cards with watery grave you play this turn cost {r}{r}{r} less to play.",,,,,,,9,9,0,0,0,0.02028321708209552,0.05154159957162628,0.0,0.0,0.0,0.16806472727272725,0.1711010909090909,0.18980700478468898,0.13635668792574865,0.02425876010781671,0.34677742062239403,0.06164383561643835,0.0,0.0,0.0,0.0,0.0,0.0,0.08669435515559851
"Chum, Friendly First Mate (yellow)",mythic,SEA050,https://prod-content.fabrary.io/cards/SEA050.webp,mwBrbdjPn7h8nPpCNzpMR,2,4,4,,6,,,"Pirate, Necromancer, Action, Ally",Watery Grave,"Action, Instant",Attack,,,Watery Grave,"""**Action** - {t}: **Attack**",,,,,,,18,18,0,0,0,0.04095988393302156,0.10408299273391093,0.0,0.0,0.0,0.16806472727272725,0.13770109090909088,0.18980700478468898,0.28184114764770757,0.04851752021563342,0.7007695697178277,0.1232876712328767,0.0,0.0,0.0,0.0,0.0,0.0,0.17519239242945692
Moray le Fay (yellow),mythic,SEA051,https://prod-content.fabrary.io/cards/SEA051.webp,HNFBzNgGjf6JnH9h6PKFJ,2,0,0,,3,,,"Pirate, Necromancer, Action, Ally",Watery Grave,"Action, Instant",Attack,,,,"""**Action** - {t}: **Attack**",,,,,,,4,4,0,0,0,0.009110573146194763,0.023150839981083953,0.0,0.0,0.0,0.16806472727272725,0.13770109090909088,0.18980700478468898,0.06263136614393501,0.01078167115902965,0.15572657104840615,0.0273972602739726,0.0,0.0,0.0,0.0,0.0,0.0,0.03893164276210154
Wailer Humperdinck (yellow),mythic,SEA052,https://prod-content.fabrary.io/cards/SEA052.webp,jqwmB7FLCpBPgTJz9ztGJ,2,6,11,,7,,,"Pirate, Necromancer, Action, Ally",Watery Grave,"Action, Instant",Attack,,,,"""**Action** - {r}{r}{r} {r}{r}{r}, {t}: **Attack**",,,,,,,9,9,0,0,0,0.020764749417635436,0.05276521941056676,0.0,0.0,0.0,0.16806472727272725,0.13770109090909088,0.18980700478468898,0.14092057382385378,0.02425876010781671,0.35038478485891383,0.06164383561643835,0.0,0.0,0.0,0.0,0.0,0.0,0.08759619621472846
Board the Ship (red),rare,SEA053,https://prod-content.fabrary.io/cards/SEA053.webp,nGCNDPFfPdhBFqBQBPWwk,1,2,6,3,,,,"Pirate, Necromancer, Action, Attack",Overpower,,,,,,"When this attacks, you may {t} an ally you control. If you do, this gets **overpower**.",Pirate Necromancer Action - Attack,,,,No,,33,33,0,0,0,0.07487458947057425,0.1902635115998839,0.0,0.0,0.0,0.7582363511904764,0.762198275,0.7975172199921293,0.11466100519394594,0.0889487870619946,0.29139541584523376,0.22602739726027396,0.0,0.0,0.0,0.0,0.0,0.0,0.07284885396130844
Paddle Faster (red),rare,SEA054,https://prod-content.fabrary.io/cards/SEA054.webp,PJQgmWWftPgbC9Nz7zzKD,1,0,4,3,,,,"Pirate, Necromancer, Action, Attack",Go again,,,,,,"When this attacks, you may {t} an ally you control. If you do, this gets **go again**.",Pirate Necromancer Action - Attack,,,,No,,34,34,0,0,0,0.07713223277309376,0.19600039971793004,0.0,0.0,0.0,0.7582363511904764,0.762198275,0.7975172199921293,0.118135581108914,0.09164420485175202,0.30022557996175603,0.2328767123287671,0.0,0.0,0.0,0.0,0.0,0.0,0.07505639499043901
Hoist 'Em Up (red),rare,SEA055,https://prod-content.fabrary.io/cards/SEA055.webp,rLgf6HdKBBDFTcJrkwgtT,1,,,4,,,,"Pirate, Necromancer, Block",,,,,,,"When this defends, you may {t} an ally you control. If you do, this gets +1{d}.",Pirate Necromancer Block,,,,No,,40,40,0,0,0,0.0893532751034441,0.22705524016012163,0.0,0.0,0.0,0.7582363511904764,0.762198275,0.7975172199921293,0.13898303659872235,0.1078167115902965,0.35320656466088945,0.273972602739726,0.0,0.0,0.0,0.0,0.0,0.0,0.08830164116522236
Avast Ye! (blue),rare,SEA056,https://prod-content.fabrary.io/cards/SEA056.webp,9hfD6tJzWCzbTMBnzgnBL,3,0,,3,,,,"Pirate, Necromancer, Action",Go again,,,Go again,,,"""Your next Pirate ally attack this turn gets **go again** and """"When this hits a hero, create a Gold token.""""",,,,,,,52,52,0,0,0,0.11850412923290422,0.3011303557904621,0.0,0.0,0.0,0.7582363511904764,0.762198275,0.7975172199921293,0.18067794757833905,0.14016172506738545,0.45916853405915625,0.3561643835616438,0.0,0.0,0.0,0.0,0.0,0.0,0.11479213351478906
